modulex	moduley	c	timestamp	kilobot_sn	data0	data1	data2	data3	data4	data5	data6
3	3	1	0	2067/8	6d	00	00	00	00	00	00
4	2	3	0	2060/4	92	00	00	00	00	00	00
7	2	1	0	3060/6	62	00	00	00	00	00	00
8	2	0	0	2063/1	16	00	00	00	00	00	00
6	3	3	0	3060/1	76	00	00	00	00	00	00
7	3	0	0	3060/1	76	00	00	00	00	00	00
2	4	2	0	01077	65	00	00	00	00	00	00
5	4	2	1	2059/5	68	00	00	00	00	00	00
7	4	2	1	01083	84	00	00	00	00	00	00
7	4	3	1	2060/1	73	00	00	00	00	00	00
2	5	0	1	2059/8	8d	00	00	00	00	00	00
7	5	1	1	2064/6	24	00	00	00	00	00	00
8	5	3	1	2260/4	5c	00	00	00	00	00	00
2	6	3	1	2066/0	ad	00	00	00	00	00	00
3	6	1	1	2060/9	95	00	00	00	00	00	00
4	6	0	1	2060/9	95	00	00	00	00	00	00
7	6	1	1	2066/3	30	00	00	00	00	00	00
4	7	1	1	2059/9	8e	00	00	00	00	00	00
8	7	0	1	2067/5	37	00	00	00	00	00	00
1	8	1	1	2063/6	9a	00	00	00	00	00	00
2	8	0	1	2063/6	9a	00	00	00	00	00	00
1	9	1	1	01080	82	00	00	00	00	00	00
4	9	3	1	2067/2	35	00	00	00	00	00	00
6	9	1	1	2059/2	88	00	00	00	00	00	00
7	9	1	1	2059/8	0d	00	00	00	00	00	00
2	10	3	1	2067/6	b8	00	00	00	00	00	00
3	10	3	1	2066/1	ae	00	00	00	00	00	00
5	10	3	1	2065/0	27	00	00	00	00	00	00
4	11	0	1	2064/0	9e	00	00	00	00	00	00
4	11	2	1	2070/0	4b	00	00	00	00	00	00
6	11	0	1	2069/3	46	00	00	00	00	00	00
7	11	1	1	2071/4	55	00	00	00	00	00	00
7	11	2	1	2068/0	ba	00	00	00	00	00	00
2	12	1	1	2063/7	1b	00	00	00	00	00	00
7	12	0	1	2069/1	c4	00	00	00	00	00	00
8	12	0	1	2060/6	13	00	00	00	00	00	00
2	13	2	1	2063/7	1b	00	00	00	00	00	00
4	13	3	1	2064/0	1e	00	00	00	00	00	00
5	13	3	1	2065/5	2b	00	00	00	00	00	00
6	13	2	1	2065/5	2b	00	00	00	00	00	00
6	13	1	1	2068/3	bd	00	00	00	00	00	00
7	13	2	1	2069/1	c4	00	00	00	00	00	00
7	13	0	1	2068/3	bd	00	00	00	00	00	00
2	14	0	1	2071/5	56	00	00	00	00	00	00
3	14	3	1	2063/9	1d	00	00	00	00	00	00
3	14	2	1	2070/6	50	00	00	00	00	00	00
4	14	3	1	2067/2	b5	00	00	00	00	00	00
5	14	0	1	2067/2	b5	00	00	00	00	00	00
5	14	3	1	2060/1	f3	00	00	00	00	00	00
6	14	3	1	2064/5	23	00	00	00	00	00	00
6	14	2	1	2060/1	f3	00	00	00	00	00	00
2	15	1	1	2063/4	98	00	00	00	00	00	00
2	15	2	1	2071/5	56	00	00	00	00	00	00
3	15	0	1	2063/4	98	00	00	00	00	00	00
3	15	3	1	2068/5	bf	00	00	00	00	00	00
4	15	3	1	2070/2	4d	00	00	00	00	00	00
5	15	3	1	2071/6	d7	00	00	00	00	00	00
6	15	3	1	2066/0	2d	00	00	00	00	00	00
4	16	0	1	2066/6	b1	00	00	00	00	00	00
4	16	2	1	01083	04	00	00	00	00	00	00
5	16	2	1	2065/1	a8	00	00	00	00	00	00
4	17	2	1	2066/6	b1	00	00	00	00	00	00
3	2	2	1	2059/4	0a	00	00	00	00	00	00
5	3	1	1	2063/4	18	00	00	00	00	00	00
7	3	1	1	2064/4	a2	00	00	00	00	00	00
8	3	2	1	2064/4	a2	00	00	00	00	00	00
3	4	1	1	2059/4	8a	00	00	00	00	00	00
5	5	1	1	2059/2	08	00	00	00	00	00	00
6	6	2	1	2260/0	ec	00	00	00	00	00	00
4	8	3	1	2063/0	f7	00	00	00	00	00	00
6	8	3	1	2071/3	d4	00	00	00	00	00	00
8	8	0	1	3060/2	e7	00	00	00	00	00	00
4	11	1	2	2069/6	e9	00	00	00	00	00	00
3	12	3	2	3060/8	e4	00	00	00	00	00	00
6	16	0	2	2060/7	14	00	00	00	00	00	00
5	17	3	2	2260/7	74	00	00	00	00	00	00
3	16	2	2	2063/4	98	00	00	00	00	00	21
8	16	3	2	3060/7	e3	00	00	00	00	00	21
6	2	3	3	2065/9	6b	00	00	00	00	00	21
7	2	0	3	3060/6	62	00	00	00	00	00	21
8	2	2	3	2063/1	16	00	00	00	00	00	21
7	3	2	3	3060/1	76	00	00	00	00	00	21
7	3	1	3	2064/4	a2	00	00	00	00	00	21
2	4	2	3	01077	65	00	00	00	00	00	21
4	4	1	3	2059/5	68	00	00	00	00	00	21
7	4	0	3	01083	84	00	00	00	00	00	21
3	5	3	3	2065/9	eb	00	00	00	00	00	05
5	5	0	3	2066/2	2f	00	00	00	00	00	05
5	5	1	3	2059/2	08	00	00	00	00	00	04
7	5	0	3	2064/6	24	00	00	00	00	00	04
1	6	1	3	2071/1	7a	00	00	00	00	00	04
3	6	3	3	2060/9	95	00	00	00	00	00	05
5	6	0	3	2068/6	c0	00	00	00	00	00	04
5	6	3	3	2059/2	08	00	00	00	00	00	04
6	6	1	3	01082	fd	00	00	00	00	00	05
2	7	1	3	2070/2	cd	00	00	00	00	00	05
3	7	0	3	2070/2	cd	00	00	00	00	00	05
4	7	0	3	2059/9	8e	00	00	00	00	00	04
7	7	0	3	2063/8	9c	00	00	00	00	00	04
2	8	2	3	2063/6	9a	00	00	00	00	00	04
3	8	1	3	2070/4	4e	00	00	00	00	00	04
2	9	0	3	01080	82	00	00	00	00	00	04
3	9	0	3	2066/1	ae	00	00	00	00	00	04
4	9	2	3	2067/2	35	00	00	00	00	00	05
5	9	3	3	3060/0	5f	00	00	00	00	00	05
6	9	3	3	2059/2	88	00	00	00	00	00	04
6	9	0	3	2065/0	27	00	00	00	00	00	05
5	10	3	3	2065/0	27	00	00	00	00	00	05
5	10	2	3	2060/3	11	00	00	00	00	00	05
4	11	3	3	2070/0	4b	00	00	00	00	00	05
5	12	1	3	2069/7	49	00	00	00	00	00	05
6	12	1	3	2069/1	c4	00	00	00	00	00	04
7	12	1	3	2060/6	13	00	00	00	00	00	05
4	13	2	3	2064/0	1e	00	00	00	00	00	04
5	13	3	3	2069/7	49	00	00	00	00	00	05
8	13	0	3	2065/2	29	00	00	00	00	00	05
3	14	3	3	2063/9	1d	00	00	00	00	00	05
3	14	2	3	2070/6	50	00	00	00	00	00	04
4	14	3	3	2067/2	b5	00	00	00	00	00	05
6	14	1	3	2064/5	23	00	00	00	00	00	05
7	14	0	3	2064/5	23	00	00	00	00	00	05
5	15	2	3	2071/6	d7	00	00	00	00	00	21
8	15	2	3		7f	00	00	00	00	00	21
2	16	2	3	2064/8	a5	00	00	00	00	00	21
3	16	1	3	2066/6	b1	00	00	00	00	00	21
7	16	2	3	2063/1	96	00	00	00	00	00	21
7	16	1	3	2068/5	3f	00	00	00	00	00	21
3	17	3	3	2066/6	b1	00	00	00	00	00	21
4	17	1	3	2069/1	44	00	00	00	00	00	21
6	17	2	3	2260/7	74	00	00	00	00	00	21
7	17	3	3	2068/5	3f	00	00	00	00	00	21
3	2	3	3	2059/4	0a	00	00	00	00	00	21
6	2	2	3	2260/3	5b	00	00	00	00	00	21
1	3	3	3	2260/7	f4	00	00	00	00	00	21
2	3	2	3	2260/7	f4	00	00	00	00	00	21
5	6	1	3	2260/0	ec	00	00	00	00	00	04
6	6	2	3	2260/0	ec	00	00	00	00	00	04
