modulex	moduley	c	timestamp	kilobot_sn	data0	data1	data2	data3	data4	data5	data6
4	3	1	0	2065/1	a8	00	00	00	00	00	00
1	6	3	0	2065/0	a7	00	00	00	00	00	00
2	11	3	0	2059/0	fc	00	00	00	00	00	00
3	13	0	0	2260/3	db	00	00	00	00	00	00
7	6	3	0	2060/7	14	00	00	00	00	00	00
1	14	1	0	2260/0	ec	00	00	00	00	00	00
4	5	2	1	2260/4	5c	00	00	00	00	00	00
4	15	1	1	2069/7	49	00	00	00	00	00	00
4	7	3	1	2071/1	7a	00	00	00	00	00	00
6	7	3	1	2260/8	6a	00	00	00	00	00	00
7	7	2	1	2260/8	6a	00	00	00	00	00	00
3	8	1	1	2067/7	66	00	00	00	00	00	00
4	8	2	1	2070/2	4d	00	00	00	00	00	00
5	8	3	1	01083	04	00	00	00	00	00	00
3	9	1	1	3060/7	e3	00	00	00	00	00	00
2	10	1	1	2059/0	fc	00	00	00	00	00	00
3	10	3	1	2069/8	4a	00	00	00	00	00	00
3	10	0	1	2059/0	fc	00	00	00	00	00	00
2	11	2	1	2066/1	ae	00	00	00	00	00	00
3	11	3	1	2059/2	88	00	00	00	00	00	00
6	11	0	1	2068/5	bf	00	00	00	00	00	00
1	12	2	1	2066/4	7e	00	00	00	00	00	00
2	12	1	1	2060/2	10	00	00	00	00	00	00
3	12	3	1	2064/0	9e	00	00	00	00	00	00
5	12	1	1	2060/3	91	00	00	00	00	00	00
6	12	2	1	2068/5	bf	00	00	00	00	00	00
1	13	1	1	2070/9	51	00	00	00	00	00	00
2	13	3	1	2060/2	10	00	00	00	00	00	00
3	13	1	1	2071/0	d2	00	00	00	00	00	00
4	13	3	1	2065/2	29	00	00	00	00	00	00
6	13	0	1	2070/5	4f	00	00	00	00	00	00
6	13	1	1	2060/1	73	00	00	00	00	00	00
7	13	3	1	2063/9	9d	00	00	00	00	00	00
8	13	2	1	2063/9	9d	00	00	00	00	00	00
2	14	2	1	2069/2	c5	00	00	00	00	00	00
3	14	2	1	2060/7	94	00	00	00	00	00	00
5	14	2	1	2066/9	f2	00	00	00	00	00	00
7	14	0	1	2066/6	31	00	00	00	00	00	00
7	14	0	1	2069/3	46	00	00	00	00	00	00
2	15	0	1	2067/4	b6	00	00	00	00	00	00
2	15	2	1	2064/1	1f	00	00	00	00	00	00
3	15	2	1	2059/6	8b	00	00	00	00	00	00
5	15	0	2	2063/1	16	00	00	00	00	00	00
6	15	3	2	2069/3	46	00	00	00	00	00	00
3	16	2	2	2068/1	3b	00	00	00	00	00	00
3	16	1	2	2067/5	37	00	00	00	00	00	00
4	16	3	2	2064/9	26	00	00	00	00	00	00
7	16	0	2	2068/6	c0	00	00	00	00	00	00
4	3	1	2	2065/1	a8	00	00	00	00	00	00
7	3	2	2	2063/2	97	00	00	00	00	00	00
2	4	2	2	2063/6	1a	00	00	00	00	00	00
3	4	2	2	2063/4	98	00	00	00	00	00	00
4	4	2	2	2067/2	b5	00	00	00	00	00	00
6	4	3	2	2059/8	8d	00	00	00	00	00	00
7	4	0	2	2066/2	2f	00	00	00	00	00	00
1	5	1	2	2066/0	ad	00	00	00	00	00	00
3	6	3	2	3060/4	e1	00	00	00	00	00	00
3	6	1	2	2065/6	ef	00	00	00	00	00	00
5	6	2	2	2065/9	eb	00	00	00	00	00	00
2	7	0	2	3060/1	76	00	00	00	00	00	00
3	7	2	2	01080	82	00	00	00	00	00	00
5	7	2	2	3060/0	5f	00	00	00	00	00	00
6	7	0	2	2067/2	35	00	00	00	00	00	00
7	7	1	2	2064/5	a3	00	00	00	00	00	00
8	7	0	2	2064/5	a3	00	00	00	00	00	00
2	8	3	2	2064/8	25	00	00	00	00	00	00
7	8	3	2	2063/8	1c	00	00	00	00	00	00
2	9	0	2	01077	e5	00	00	00	00	00	00
5	9	2	2	3060/8	64	00	00	00	00	00	00
2	11	1	2	2068/1	bb	00	00	00	00	00	00
3	11	2	2	2071/9	59	00	00	00	00	00	00
8	11	2	2	2065/6	6f	00	00	00	00	00	00
8	14	2	2	2065/7	2c	00	00	00	00	00	00
5	15	3	2	2069/6	69	00	00	00	00	00	00
5	3	1	2	2071/4	d5	00	00	00	00	00	00
2	8	1	2	2059/5	e8	00	00	00	00	00	00
7	11	2	2	2260/7	74	00	00	00	00	00	00
3	13	2	2	2260/3	db	00	00	00	00	00	00
7	15	1	2	2067/7	e6	00	00	00	00	00	21
8	15	2	2	2067/7	e6	00	00	00	00	00	21
1	16	0	2	2071/6	d7	00	00	00	00	00	00
1	15	3	2	2260/0	ec	00	00	00	00	00	21
4	5	0	2	2260/4	5c	00	00	00	00	00	04
7	11	1	3	2070/1	cc	00	00	00	00	00	04
8	11	0	3	2070/1	cc	00	00	00	00	00	04
8	12	2	3	2070/1	cc	00	00	00	00	00	04
3	13	3	3	2071/0	d2	00	00	00	00	00	04
4	13	0	3	2071/0	d2	00	00	00	00	00	04
5	13	3	3	2070/5	4f	00	00	00	00	00	05
4	15	0	3	2069/7	49	00	00	00	00	00	21
