modulex	moduley	c	timestamp	kilobot_sn	data0	data1	data2	data3	data4	data5	data6
3	6	3	0	2260/0	6c	00	00	00	00	00	00
3	15	1	0	2060/9	15	00	00	00	00	00	00
2	4	2	0	2260/0	ec	00	00	00	00	00	00
7	5	0	1	3060/7	e3	00	00	00	00	00	00
7	7	1	1	01085	85	00	00	00	00	00	00
6	10	2	1	01077	65	00	00	00	00	00	00
5	11	0	1	2060/3	91	00	00	00	00	00	00
4	12	2	1	2060/0	8f	00	00	00	00	00	00
6	12	2	1	2065/7	ac	00	00	00	00	00	00
4	13	0	1	2059/8	8d	00	00	00	00	00	00
4	15	3	1	2060/9	95	00	00	00	00	00	00
5	15	2	1	2060/9	95	00	00	00	00	00	00
6	16	3	1		7f	00	00	00	00	00	00
5	2	1	1	2068/5	bf	00	00	00	00	00	00
5	3	3	1	2068/5	bf	00	00	00	00	00	00
6	3	3	1	2069/4	47	00	00	00	00	00	00
7	3	0	1	2065/1	28	00	00	00	00	00	00
7	3	2	1	2066/2	af	00	00	00	00	00	00
8	3	0	1	2064/7	6e	00	00	00	00	00	00
2	4	0	1	2067/1	b4	00	00	00	00	00	00
7	4	1	1	2064/0	9e	00	00	00	00	00	00
6	5	0	1	2071/0	d2	00	00	00	00	00	00
6	5	2	1	01080	82	00	00	00	00	00	00
7	5	3	1	2064/0	9e	00	00	00	00	00	00
1	6	1	1		70	00	00	00	00	00	00
2	6	0	1		70	00	00	00	00	00	00
2	6	2	1	2063/6	9a	00	00	00	00	00	00
2	6	1	1	2064/5	23	00	00	00	00	00	00
6	6	2	1	2071/0	d2	00	00	00	00	00	00
7	6	0	1	2063/1	96	00	00	00	00	00	00
1	7	3	1	2059/0	fc	00	00	00	00	00	00
3	7	2	1	2064/5	23	00	00	00	00	00	00
5	7	2	1	2071/1	7a	00	00	00	00	00	00
6	7	1	1	2066/0	2d	00	00	00	00	00	00
3	8	3	1	3060/4	e1	00	00	00	00	00	00
6	8	3	1	2063/5	19	00	00	00	00	00	00
7	8	2	1	2063/5	19	00	00	00	00	00	00
6	9	0	1	2068/4	3e	00	00	00	00	00	00
2	10	3	1	2065/9	6b	00	00	00	00	00	00
3	10	1	1	2063/9	1d	00	00	00	00	00	00
4	10	3	1	2068/6	c0	00	00	00	00	00	00
6	10	0	1	2063/0	77	00	00	00	00	00	00
6	10	3	1	2066/3	30	00	00	00	00	00	00
7	10	2	1	2066/3	30	00	00	00	00	00	00
2	11	3	1	2065/3	2a	00	00	00	00	00	00
3	11	3	1	2063/9	1d	00	00	00	00	00	00
6	11	1	1	2059/2	08	00	00	00	00	00	00
8	11	2	1	2071/8	58	00	00	00	00	00	00
2	12	3	1	2066/9	72	00	00	00	00	00	00
3	12	3	1	2067/4	b6	00	00	00	00	00	00
3	12	0	1	2065/6	ef	00	00	00	00	00	00
6	12	3	1	2067/1	34	00	00	00	00	00	00
3	13	3	2	2065/6	ef	00	00	00	00	00	00
4	13	2	2	01081	03	00	00	00	00	00	00
7	13	3	2	2065/0	27	00	00	00	00	00	00
8	13	2	2	2065/0	27	00	00	00	00	00	00
7	14	3	2	2071/5	d6	00	00	00	00	00	00
2	15	3	2	2071/3	d4	00	00	00	00	00	00
5	15	1	2	2068/0	ba	00	00	00	00	00	00
6	15	0	2	2068/0	ba	00	00	00	00	00	00
3	16	1	2	2071/6	57	00	00	00	00	00	00
4	16	2	2	2071/6	57	00	00	00	00	00	00
5	16	1	2	2059/5	68	00	00	00	00	00	00
6	16	3	2	2068/2	bc	00	00	00	00	00	00
4	4	2	2	3060/2	e7	00	00	00	00	00	00
5	4	0	2	2260/1	5a	00	00	00	00	00	00
1	5	3	2	2066/7	75	00	00	00	00	00	00
5	5	2	2	2260/1	5a	00	00	00	00	00	00
1	11	3	2	2260/1	da	00	00	00	00	00	00
3	15	1	2	2060/9	15	00	00	00	00	00	00
2	4	2	3	2260/0	ec	00	00	00	00	00	21
6	8	1	3	2069/2	45	00	00	00	00	00	05
5	11	1	3	2065/7	ac	00	00	00	00	00	04
4	12	3	3	2260/5	5d	00	00	00	00	00	05
4	12	3	3	2060/0	8f	00	00	00	00	00	05
2	13	2	3	2070/2	cd	00	00	00	00	00	05
5	13	2	3	2060/2	10	00	00	00	00	00	04
6	13	1	3	2069/2	c5	00	00	00	00	00	05
7	13	2	3	2069/2	c5	00	00	00	00	00	05
1	16	3	3	2064/0	1e	00	00	00	00	00	21
2	16	3	3	3060/0	5f	00	00	00	00	00	21
3	3	3	3	2066/1	2e	00	00	00	00	00	21
4	3	1	3	2060/6	93	00	00	00	00	00	21
6	3	2	3	2068/5	bf	00	00	00	00	00	21
6	3	1	3	2069/4	47	00	00	00	00	00	21
3	4	2	3	2069/3	c6	00	00	00	00	00	21
7	4	2	3	2065/1	28	00	00	00	00	00	21
5	5	2	3	2059/3	89	00	00	00	00	00	05
1	6	3	3		70	00	00	00	00	00	04
3	6	0	3	2064/5	23	00	00	00	00	00	05
5	6	0	3	2071/1	7a	00	00	00	00	00	04
7	6	3	3	2063/1	96	00	00	00	00	00	04
1	7	1	3	2059/0	fc	00	00	00	00	00	04
3	7	2	3	2260/5	dd	00	00	00	00	00	05
4	7	1	3	2059/4	0a	00	00	00	00	00	04
5	7	0	3	2059/4	0a	00	00	00	00	00	04
6	7	0	3	2070/4	ce	00	00	00	00	00	04
3	8	3	3	3060/4	e1	00	00	00	00	00	05
6	8	2	3	2059/8	0d	00	00	00	00	00	05
6	8	1	3	2063/5	19	00	00	00	00	00	05
2	9	1	3	2065/9	6b	00	00	00	00	00	05
3	10	1	3	2063/9	1d	00	00	00	00	00	05
5	10	0	3	2068/6	c0	00	00	00	00	00	04
6	10	1	3	2066/3	30	00	00	00	00	00	04
2	11	2	3	2065/3	2a	00	00	00	00	00	04
3	11	3	3	2063/9	1d	00	00	00	00	00	05
6	11	1	3	2059/2	08	00	00	00	00	00	04
7	11	0	4	2070/5	4f	00	00	00	00	00	05
3	12	0	4	2065/6	ef	00	00	00	00	00	05
6	12	2	4	2067/1	34	00	00	00	00	00	04
6	12	0	4	2063/5	99	00	00	00	00	00	05
7	12	2	4	2070/5	4f	00	00	00	00	00	05
1	13	3	4	2070/2	cd	00	00	00	00	00	05
4	13	3	4	01081	03	00	00	00	00	00	05
4	14	1	4	2067/0	b3	00	00	00	00	00	21
5	14	1	4	2059/1	87	00	00	00	00	00	05
7	14	0	4	2067/5	37	00	00	00	00	00	05
7	14	2	4	2071/5	d6	00	00	00	00	00	04
7	15	3	4	2070/0	4b	00	00	00	00	00	21
5	16	1	4	2059/5	68	00	00	00	00	00	21
6	16	0	4	2068/2	bc	00	00	00	00	00	21
4	4	3	4	3060/2	e7	00	00	00	00	00	21
5	4	1	4	2260/1	5a	00	00	00	00	00	21
1	5	2	4	2066/7	75	00	00	00	00	00	05
5	5	2	4	2260/1	5a	00	00	00	00	00	21
1	10	3	4	2064/9	a6	00	00	00	00	00	04
2	3	0	5	2260/0	ec	00	00	00	00	00	21
7	5	3	5	3060/7	e3	00	00	00	00	00	05
8	5	0	5	2063/7	1b	00	00	00	00	00	05
