modulex	moduley	c	timestamp	kilobot_sn	data0	data1	data2	data3	data4	data5	data6
4	2	2	0	2067/9	39	01	00	00	00	00	00
3	3	0	0	3060/6	62	01	00	00	00	00	00
4	3	0	0	2064/9	26	03	00	00	00	00	00
6	3	1	0	2063/1	16	00	00	00	00	00	00
7	3	2	0	01079	01	00	00	00	00	00	00
5	5	0	0	2065/0	27	02	00	00	00	00	00
5	6	1	0	2066/6	31	03	00	00	00	00	00
5	7	1	0		70	00	00	00	00	00	00
6	7	0	0	2067/2	35	04	00	00	00	00	00
5	8	1	0	2060/9	15	01	00	00	00	00	00
7	8	2	0	2065/1	28	00	00	00	00	00	00
5	9	0	0	2069/5	48	04	00	00	00	00	00
3	10	0	0	2063/9	1d	03	00	00	00	00	00
6	10	2	0	2060/4	12	01	00	00	00	00	00
2	11	0	0	2071/1	7a	00	00	00	00	00	00
3	11	1	0	2068/4	3e	02	00	00	00	00	00
4	11	1	0	2064/5	23	00	00	00	00	00	00
4	12	2	0	2069/1	44	03	00	00	00	00	00
7	12	1	0	2071/8	58	00	00	00	00	00	00
2	13	2	0	3060/2	67	04	00	00	00	00	00
3	13	0	0	2070/9	51	01	00	00	00	00	00
3	15	3	0	2063/6	1a	00	00	00	00	00	00
5	15	3	0	2067/3	7f	02	00	00	00	00	00
6	15	3	0	2067/5	37	01	00	00	00	00	00
4	16	3	0	2066/1	2e	02	00	00	00	00	00
5	16	2	0	2071/9	59	03	00	00	00	00	00
6	16	0	0	2070/2	4d	02	00	00	00	00	00
7	16	0	0	2066/7	75	02	00	00	00	00	00
2	17	3	0	2069/6	69	00	00	00	00	00	00
5	17	0	0	2067/0	33	03	00	00	00	00	00
2	3	1	0	2059/2	08	02	00	00	00	00	00
5	3	0	0	3060/0	5f	02	00	00	00	00	00
4	4	1	0	2064/8	25	03	00	00	00	00	00
2	5	2	1	2068/1	3b	02	00	00	00	00	00
7	5	0	1	2063/7	1b	02	00	00	00	00	00
2	6	2	1	2260/8	6a	03	00	00	00	00	00
3	6	2	1	2260/3	5b	04	00	00	00	00	00
6	6	1	1	2065/9	6b	00	00	00	00	00	00
7	6	0	1	2260/5	5d	00	00	00	00	00	00
2	7	1	1	2067/3	ff	00	00	00	00	00	00
3	7	1	1	2059/8	0d	03	00	00	00	00	00
7	7	0	1	2067/3	ff	00	00	00	00	00	00
2	8	0	1	2260/9	5e	02	00	00	00	00	00
3	8	0	1	2068/0	3a	04	00	00	00	00	00
4	8	0	1	2067/4	36	00	00	00	00	00	00
6	8	3	1	2066/8	32	01	00	00	00	00	00
2	9	0	1	2070/3	71	04	00	00	00	00	00
3	9	2	1	2060/5	78	04	00	00	00	00	00
4	9	0	1	2064/7	6e	00	00	00	00	00	00
6	9	1	1	2064/1	1f	00	00	00	00	00	00
7	9	2	1	2059/7	0c	01	00	00	00	00	00
2	10	3	1	01083	04	03	00	00	00	00	00
4	10	2	1	2068/9	42	04	00	00	00	00	00
3	11	3	1	2068/4	3e	02	00	00	00	00	00
5	11	2	1	2069/3	46	00	00	00	00	00	00
2	12	2	1	2066/2	2f	01	00	00	00	00	00
4	12	0	1	2069/1	44	03	00	00	00	00	00
6	12	1	1	2071/6	57	04	00	00	00	00	00
5	13	0	1	2064/2	20	03	00	00	00	00	00
6	13	1	1	2071/7	7b	00	00	00	00	00	00
