modulex	moduley	c	timestamp	kilobot_sn	data0	data1	data2	data3	data4	data5	data6
3	8	0	0	2068/0	3a	00	00	00	00	00	00
8	12	3	1	2065/2	29	00	00	00	00	00	00
3	15	0	1	2260/4	5c	00	00	00	00	00	00
5	15	0	1	2067/5	b7	00	00	00	00	00	00
6	15	1	1	2059/6	8b	00	00	00	00	00	00
7	15	0	1	2059/6	8b	00	00	00	00	00	00
7	16	0	1	2059/0	fc	00	00	00	00	00	00
3	17	0	1	2069/7	49	00	00	00	00	00	00
7	17	2	1	2059/0	fc	00	00	00	00	00	00
8	17	0	1	2067/2	35	00	00	00	00	00	00
8	18	2	1	2067/2	35	00	00	00	00	00	00
4	1	0	1	2064/1	1f	00	00	00	00	00	00
1	2	2	1	2059/2	88	00	00	00	00	00	00
2	2	3	1	2260/8	ea	00	00	00	00	00	00
4	2	2	1	2064/1	1f	00	00	00	00	00	00
5	2	3	1	01087	86	00	00	00	00	00	00
6	2	1	1	01085	85	00	00	00	00	00	00
7	2	0	1	2064/4	a2	00	00	00	00	00	00
8	2	2	1	2059/8	0d	00	00	00	00	00	00
1	3	2	1	2071/7	7b	00	00	00	00	00	00
2	3	2	1	2068/2	bc	00	00	00	00	00	00
6	3	1	1	2060/2	90	00	00	00	00	00	00
8	3	1	1	2063/7	1b	00	00	00	00	00	00
2	4	0	1	2063/8	9c	00	00	00	00	00	00
5	4	3	1	2060/1	73	00	00	00	00	00	00
7	4	0	1	2069/2	c5	00	00	00	00	00	00
2	5	2	1	2063/8	9c	00	00	00	00	00	00
5	5	1	1	2260/5	dd	00	00	00	00	00	00
5	5	2	1	2066/9	f2	00	00	00	00	00	00
6	5	0	1	2260/5	dd	00	00	00	00	00	00
1	6	3	1	2063/5	99	00	00	00	00	00	00
4	6	1	1	2067/6	38	00	00	00	00	00	00
5	6	1	1	01077	e5	00	00	00	00	00	00
6	6	3	1	2066/3	30	00	00	00	00	00	00
7	6	0	1	2066/3	30	00	00	00	00	00	00
8	6	0	1	3060/7	e3	00	00	00	00	00	00
2	7	0	1	2070/4	4e	00	00	00	00	00	00
4	7	0	1	2066/7	75	00	00	00	00	00	00
6	7	0	1	2064/8	25	00	00	00	00	00	00
1	8	0	1	2067/5	37	00	00	00	00	00	00
4	8	2	1	2066/7	75	00	00	00	00	00	00
