modulex	moduley	c	timestamp	kilobot_sn	data0	data1	data2	data3	data4	data5	data6
5	2	3	0	2068/5	3f	04	00	00	00	00	00
3	4	3	0	2260/3	5b	01	00	00	00	00	00
7	4	0	0	2064/6	24	02	00	00	00	00	00
5	5	0	0	2066/6	31	03	00	00	00	00	00
7	5	3	0	01087	06	04	00	00	00	00	00
2	6	3	0	2065/7	2c	00	00	00	00	00	00
7	6	3	0	2068/4	3e	02	00	00	00	00	00
6	7	1	0	2064/3	21	04	00	00	00	00	00
2	8	1	0	2070/4	4e	03	00	00	00	00	00
2	9	2	0	2260/1	5a	00	00	00	00	00	00
4	9	0	0	2066/2	2f	02	00	00	00	00	00
5	9	2	0	2069/0	43	03	00	00	00	00	00
5	11	2	0	2060/9	15	02	00	00	00	00	00
7	12	0	0	2063/4	18	01	00	00	00	00	00
2	13	1	0	3060/2	67	00	00	00	00	00	00
6	13	1	0	2065/0	27	00	00	00	00	00	00
7	13	0	0	2070/1	4c	03	00	00	00	00	00
6	14	2	0	3060/4	61	01	00	00	00	00	00
2	15	3	0	3060/6	62	01	00	00	00	00	00
5	15	1	0	2070/5	4f	01	00	00	00	00	00
6	15	3	0	2065/3	2a	03	00	00	00	00	00
7	15	0	0	2065/3	2a	03	00	00	00	00	00
4	16	0	0	2067/9	39	03	00	00	00	00	00
4	16	3	0	2064/9	26	03	00	00	00	00	00
5	16	1	0	2070/9	51	00	00	00	00	00	00
2	2	0	0	2069/8	4a	04	00	00	00	00	00
6	5	0	1	2067/1	34	03	00	00	00	00	00
2	6	0	1	2066/3	30	04	00	00	00	00	00
6	6	2	1	2066/8	32	04	00	00	00	00	00
6	11	3	1	2067/5	37	02	00	00	00	00	00
4	4	1	1	2071/2	53	00	00	00	00	00	00
5	6	0	1	2068/0	3a	02	00	00	00	00	00
7	7	3	1	2067/4	36	01	00	00	00	00	00
5	13	0	2	2059/4	0a	04	00	00	00	00	00
6	14	1	2	3060/4	61	01	00	00	00	00	00
8	15	0	2	2069/1	44	00	00	00	00	00	00
2	16	3	2	2071/3	54	01	00	00	00	00	00
3	2	0	2	2060/0	0f	00	00	00	00	00	00
7	2	0	2	2059/8	0d	01	00	00	00	00	00
5	3	2	2	2066/0	2d	03	00	00	00	00	00
6	3	0	2	3060/3	60	00	00	00	00	00	00
5	4	3	2	2063/2	17	04	00	00	00	00	00
7	4	3	2	2064/6	24	02	01	01	00	00	00
1	5	3	2	2069/6	69	03	01	01	00	00	00
2	5	0	2	2069/6	69	03	01	01	00	00	00
3	5	0	2	2063/9	1d	01	00	00	00	00	00
6	5	2	2	2063/8	1c	04	00	00	00	00	00
2	6	2	2	2065/7	2c	00	00	00	00	00	00
5	6	1	2	2068/1	3b	01	00	00	00	00	00
7	6	2	2	2068/4	3e	02	00	00	00	00	00
3	7	1	2	2059/9	0e	03	00	00	00	00	00
6	7	3	2	2064/3	21	04	00	00	00	00	00
3	8	1	2	2059/6	0b	04	00	00	00	00	00
3	8	3	2	2059/9	0e	03	00	00	00	00	00
4	8	2	2	2067/6	38	00	00	00	00	00	00
6	8	0	2	2066/4	68	00	00	00	00	00	00
6	8	1	2	2059/3	09	01	00	00	00	00	00
2	9	1	2	2070/0	4b	03	00	00	00	00	00
3	9	2	2	2059/6	0b	04	00	00	00	00	00
4	9	1	2	2066/2	2f	02	00	00	00	00	00
4	10	1	2	2069/4	47	02	00	00	00	00	00
6	10	2	2	2071/6	57	04	00	00	00	00	00
4	11	0	2	2068/3	3d	02	00	00	00	00	00
1	12	3	2	2060/7	14	01	00	00	00	00	00
2	12	2	2	2060/7	14	01	00	00	00	00	00
2	12	1	2	2060/4	12	03	01	01	00	00	00
3	12	0	2	2071/5	56	04	00	00	00	00	00
5	12	3	2	2071/0	52	03	00	00	00	00	00
7	12	3	2	2063/4	18	01	00	00	00	00	00
4	13	0	2	2069/3	46	01	00	00	00	00	00
6	13	1	2	2065/0	27	00	00	00	00	00	00
7	13	3	2	2070/1	4c	03	01	01	00	00	00
5	14	0	2	2068/8	41	04	00	00	00	00	00
7	14	2	2	2063/7	1b	00	01	01	00	00	00
3	15	3	2	2059/2	08	04	00	00	00	00	00
5	15	3	2	2068/8	41	04	00	00	00	00	00
6	15	1	2	2065/3	2a	03	00	00	00	00	00
1	16	3	2	2071/9	59	02	00	00	00	00	00
7	17	2	2	2063/1	16	04	01	01	00	00	00
3	3	1	3	2064/5	23	04	01	01	00	00	00
3	3	0	3	2063/6	1a	02	01	01	00	00	00
7	4	0	3	2064/6	24	02	01	01	00	00	00
6	5	1	3	01085	05	03	01	01	00	00	00
6	6	1	3	2066/8	32	04	01	01	00	00	00
6	11	1	3	2067/5	37	02	01	01	00	00	00
2	3	1	3	3060/7	63	01	01	01	00	00	00
4	4	3	3	2071/2	53	00	01	01	00	00	00
5	6	1	3	2068/0	3a	02	01	01	00	00	00
5	8	2	3	2260/4	5c	04	01	01	00	00	00
1	14	1	4	3060/0	5f	01	01	01	00	00	00
1	15	3	4	3060/0	5f	01	01	01	00	00	00
8	16	2	4	2069/1	44	00	01	01	00	00	00
4	17	1	4	2070/2	4d	00	01	01	00	00	00
3	2	2	4	2060/0	0f	00	01	01	00	00	00
4	2	1	4	2066/0	2d	03	01	01	00	00	00
5	2	1	4	2068/5	3f	04	01	01	00	00	00
2	3	3	4	2069/8	4a	04	01	01	00	00	00
7	3	2	4	2059/8	0d	01	01	01	00	00	00
2	4	1	4	2064/8	25	03	01	01	00	00	00
3	4	1	4	2260/3	5b	01	01	01	00	00	00
5	4	0	4	2067/0	33	00	01	01	00	00	00
2	5	3	4	2064/8	25	03	01	01	00	00	00
3	5	3	4	2063/9	1d	01	01	01	00	00	00
5	5	0	4	2066/6	31	03	01	01	00	00	00
2	6	1	4	2065/7	2c	00	01	01	00	00	00
3	6	3	4	2068/9	42	02	01	01	00	00	00
7	6	1	4	2068/4	3e	02	01	01	00	00	00
2	8	3	4	2070/4	4e	03	01	01	00	00	00
3	8	3	4	2059/9	0e	03	01	01	00	00	00
5	8	1	4	2069/0	43	03	01	01	00	00	00
6	8	1	4	2066/4	68	00	01	01	00	00	00
7	8	0	4	2059/3	09	01	01	01	00	00	00
7	8	0	4	2064/2	20	01	01	01	00	00	00
4	9	3	4	2066/2	2f	02	01	01	00	00	00
6	9	3	4	2066/4	68	00	01	01	00	00	00
2	10	3	4	2060/3	11	02	01	01	00	00	00
3	10	2	4	2070/0	4b	03	01	01	00	00	00
4	10	2	4	2064/1	1f	02	01	01	00	00	00
5	10	0	4	2069/4	47	02	01	01	00	00	00
6	10	1	4	2071/6	57	04	01	01	00	00	00
7	10	3	4	2065/1	28	01	01	01	00	00	00
5	11	0	4	2060/9	15	02	01	01	00	00	00
6	11	1	4	01083	04	03	01	01	00	00	00
2	12	1	4	2060/4	12	03	01	01	00	00	00
3	12	2	4	2069/5	48	04	01	01	00	00	00
5	12	3	4	2071/8	58	01	01	01	00	00	00
7	12	2	4	2063/4	18	01	01	01	00	00	00
7	13	1	4	01080	02	00	01	01	00	00	00
7	13	2	4	2070/1	4c	03	01	01	00	00	00
3	14	1	4	2069/3	46	01	01	01	00	00	00
6	14	0	4	2067/2	35	00	01	01	00	00	00
7	14	1	4	2063/7	1b	00	01	01	00	00	00
1	15	1	4	2071/9	59	02	01	01	00	00	00
5	15	3	4	2067/2	35	00	01	01	00	00	00
6	15	0	4	2065/3	2a	03	01	01	00	00	00
4	16	1	4	2064/9	26	03	01	01	00	00	00
6	16	2	4	2070/5	4f	01	01	01	00	00	00
5	17	3	4	2070/9	51	00	01	01	00	00	00
7	17	2	4	2063/1	16	04	01	01	00	00	00
7	2	1	5	2060/6	13	00	01	01	00	00	00
4	3	0	5	2064/5	23	04	01	01	00	00	00
7	4	0	5	2064/6	24	02	02	01	24	00	00
5	5	0	5	2067/1	34	03	01	01	00	00	00
5	5	3	5	2067/1	34	03	01	01	00	00	00
4	6	1	5	2260/5	5d	03	01	01	00	00	00
6	6	0	5	2066/8	32	04	01	01	00	00	00
4	7	3	5	2260/5	5d	03	01	01	00	00	00
6	8	3	5	01079	01	02	01	01	00	00	00
2	14	3	5	2070/6	50	02	01	01	00	00	00
3	14	2	5	2070/6	50	02	01	01	00	00	00
5	6	3	5	2068/0	3a	02	01	01	00	00	00
6	7	2	5	2068/1	3b	01	01	01	00	00	00
4	9	1	5	2066/2	2f	02	01	01	00	00	00
4	10	1	5	2069/4	47	02	01	01	00	00	00
5	14	0	6	2066/1	2e	01	01	01	00	00	00
2	15	1	6	2071/3	54	01	01	01	00	00	00
4	15	3	6	2066/1	2e	01	01	01	00	00	00
6	15	2	6	3060/4	61	01	01	01	00	00	00
6	16	1	6	2067/7	66	02	01	01	00	00	00
7	16	3	6	2069/1	44	00	01	01	00	00	00
4	18	3	6	2070/2	4d	00	01	01	00	00	00
3	2	0	6	2060/0	0f	00	01	01	00	00	00
3	2	3	6	2068/2	3c	02	01	01	00	00	00
4	2	0	6	2066/0	2d	03	01	01	00	00	00
5	2	0	6	2068/5	3f	04	01	01	00	00	00
7	2	1	6	2059/8	0d	01	01	01	00	00	00
3	3	3	6	2064/5	23	04	01	01	00	00	00
5	4	3	6	2063/2	17	04	01	01	00	00	00
5	4	2	6	2067/0	33	00	01	01	00	00	00
6	4	2	6	3060/3	60	00	01	01	00	00	00
2	5	2	6	2064/8	25	03	01	01	00	00	00
5	5	3	6	2063/8	1c	04	01	01	00	00	00
3	6	1	6	2068/9	42	02	01	01	00	00	00
5	6	2	6	2066/6	31	03	01	01	00	00	00
7	6	0	6	2068/4	3e	02	01	01	00	00	00
4	7	1	6	2067/6	38	00	01	01	00	00	00
4	7	2	6	2069/2	45	00	01	01	00	00	00
4	8	2	6	2067/6	38	00	01	01	00	00	00
5	8	0	6	2069/0	43	03	01	01	00	00	00
7	8	2	6	2059/3	09	01	01	01	00	00	00
7	8	2	6	2064/3	21	04	01	01	00	00	00
3	9	0	6	2070/0	4b	03	01	01	00	00	00
2	10	3	6	2070/0	4b	03	01	01	00	00	00
6	10	0	6	2071/6	57	04	01	01	00	00	00
7	10	2	6	2065/1	28	01	01	01	00	00	00
2	11	1	6	2065/5	2b	01	01	01	00	00	00
5	11	3	6	2060/9	15	02	01	01	00	00	00
6	11	3	6	2071/6	57	04	01	01	00	00	00
2	12	3	6	2065/5	2b	01	01	01	00	00	00
2	12	3	6	2060/7	14	01	01	01	00	00	00
7	12	0	6	2070/1	4c	03	01	01	00	00	00
6	13	3	6	2065/0	27	00	01	01	00	00	00
3	14	3	6	2069/3	46	01	01	01	00	00	00
4	14	2	6	2069/3	46	01	01	01	00	00	00
2	15	3	6	3060/6	62	01	01	01	00	00	00
2	15	0	6	2071/9	59	02	01	01	00	00	00
5	15	3	6	2068/8	41	04	01	01	00	00	00
4	16	3	6	2064/9	26	03	01	01	00	00	00
5	16	3	6	2070/5	4f	01	01	01	00	00	00
2	17	1	6	2068/6	40	03	01	01	00	00	00
7	17	2	6	2063/1	16	04	01	01	00	00	00
5	5	0	7	2067/1	34	03	02	01	00	00	00
6	7	0	7	2068/1	3b	01	02	01	55	00	00
7	7	1	7	2067/4	36	01	01	01	00	00	00
8	7	0	7	2067/4	36	01	01	01	00	00	00
6	8	3	7	01079	01	02	01	01	00	00	00
3	14	2	7	2070/6	50	02	01	01	00	00	00
3	4	2	7	3060/7	63	01	01	01	00	00	00
4	4	3	7	2071/2	53	00	01	01	00	00	00
4	6	1	7	2260/5	5d	03	01	01	00	00	00
4	8	1	7	2260/4	5c	04	01	01	00	00	00
4	9	3	7	2066/2	2f	02	01	01	00	00	00
5	9	2	7	2066/2	2f	02	01	01	00	00	00
5	13	3	8	2059/4	0a	04	01	01	00	00	00
2	15	3	8	2071/3	54	01	01	01	00	00	00
4	15	1	8	2064/4	22	03	01	01	00	00	00
5	16	2	8	2064/4	22	03	01	01	00	00	00
6	17	2	8	2067/7	66	02	01	01	00	00	00
3	2	2	8	2060/0	0f	00	01	01	00	00	00
4	2	3	8	2066/0	2d	03	01	01	00	00	00
5	3	2	8	2068/5	3f	04	01	01	00	00	00
5	4	3	8	2067/0	33	00	01	01	00	00	00
2	5	1	8	2064/8	25	03	01	01	00	00	00
3	5	1	8	2063/9	1d	01	01	01	00	00	00
4	7	2	8	2068/9	42	02	01	01	00	00	00
4	7	0	8	2069/2	45	00	01	01	00	00	00
6	7	3	8	2068/4	3e	02	01	01	00	00	00
2	8	0	8	2260/1	5a	00	01	01	00	00	00
3	8	0	8	2059/6	0b	04	01	01	00	00	00
4	8	0	8	2059/9	0e	03	01	01	00	00	00
5	8	3	8	2069/0	43	03	01	01	00	00	00
7	8	3	8	2260/9	5e	04	01	01	00	00	00
2	10	3	8	2060/3	11	02	01	01	00	00	00
5	10	0	8	2060/9	15	02	01	01	00	00	00
2	11	0	8	2065/5	2b	01	01	01	00	00	00
4	11	0	8	2068/3	3d	02	01	01	00	00	00
5	11	2	8	2060/9	15	02	01	01	00	00	00
6	11	3	8	2071/6	57	04	01	01	00	00	00
6	11	1	8	01083	04	03	01	01	00	00	00
7	11	0	8	2063/4	18	01	01	01	00	00	00
2	12	1	8	2060/7	14	01	01	01	00	00	00
3	12	1	8	2069/5	48	04	01	01	00	00	00
6	12	1	8	2071/0	52	03	01	01	00	00	00
6	12	1	8	2065/2	29	00	01	01	00	00	00
8	12	0	8	2070/1	4c	03	01	01	00	00	00
2	13	3	8	2060/4	12	03	01	01	00	00	00
3	13	2	8	3060/2	67	00	01	01	00	00	00
3	13	2	8	2069/5	48	04	01	01	00	00	00
6	13	2	8	2071/0	52	03	01	01	00	00	00
7	13	3	8	01080	02	00	01	01	00	00	00
7	13	1	8	2063/7	1b	00	01	01	00	00	00
7	13	2	8	2065/2	29	00	01	01	00	00	00
8	13	0	8	2063/7	1b	00	01	01	00	00	00
3	14	1	8	2069/3	46	01	01	01	00	00	00
2	15	2	8	3060/6	62	01	01	01	00	00	00
2	17	1	8	2068/6	40	03	01	01	00	00	00
5	18	2	8	2070/9	51	00	01	01	00	00	00
4	2	0	9	2064/5	23	04	01	01	00	00	00
8	3	2	9	2060/6	13	00	01	01	00	00	00
6	4	1	9	2064/6	24	02	02	01	24	00	00
7	4	0	9	2064/6	24	02	02	01	24	00	00
7	5	2	9	2064/6	24	02	02	01	24	00	00
2	6	2	9	2066/3	30	04	01	01	00	00	00
6	11	1	9	2067/5	37	02	01	01	00	00	00
7	11	1	9	2064/0	1e	02	01	01	00	00	00
7	11	2	9	2067/5	37	02	01	01	00	00	00
8	11	0	9	2064/0	1e	02	01	01	00	00	00
2	13	1	9	2070/6	50	02	01	01	00	00	00
4	3	1	9	2071/2	53	00	01	01	00	00	00
2	4	3	9	3060/7	63	01	01	01	00	00	00
4	6	3	9	2260/5	5d	03	01	01	00	00	00
5	6	3	9	2068/0	3a	02	01	01	00	00	00
4	8	1	9	2260/4	5c	04	01	01	00	00	00
2	15	1	10	2071/3	54	01	01	01	00	00	00
5	15	2	10	2066/1	2e	01	01	01	00	00	00
6	17	0	10	2067/7	66	02	01	01	00	00	00
4	3	3	10	2068/5	3f	04	01	01	00	00	00
5	4	1	10	2063/2	17	04	01	01	00	00	00
2	5	0	10	2064/8	25	03	01	01	00	00	00
3	5	3	10	2063/9	1d	01	01	01	00	00	00
4	5	2	10	2063/9	1d	01	01	01	00	00	00
3	6	1	10	2068/9	42	02	01	01	00	00	00
5	6	2	10	2066/6	31	03	01	01	00	00	00
3	7	0	10	2059/6	0b	04	01	01	00	00	00
3	7	2	10	2065/7	2c	00	01	01	00	00	00
5	7	0	10	2067/6	38	00	01	01	00	00	00
7	7	2	10	2068/4	3e	02	01	01	00	00	00
2	8	0	10	2260/1	5a	00	01	01	00	00	00
3	8	2	10	2059/6	0b	04	01	01	00	00	00
3	8	1	10	2059/9	0e	03	01	01	00	00	00
6	8	3	10	2059/3	09	01	01	01	00	00	00
7	8	2	10	2064/2	20	01	01	01	00	00	00
5	9	0	10	2066/2	2f	02	01	01	00	00	00
6	10	3	10	2069/7	49	04	01	01	00	00	00
4	11	1	10	2069/4	47	02	01	01	00	00	00
5	11	1	10	2071/8	58	01	01	01	00	00	00
6	11	1	10	01083	04	03	01	01	00	00	00
7	11	2	10	2063/4	18	01	01	01	00	00	00
2	12	2	10	2065/5	2b	01	01	01	00	00	00
2	12	3	10	2060/7	14	01	01	01	00	00	00
5	12	3	10	2059/4	0a	04	01	01	00	00	00
6	12	0	10	2059/4	0a	04	01	01	00	00	00
3	13	1	10	2071/5	56	04	01	01	00	00	00
3	13	1	10	3060/2	67	00	01	01	00	00	00
3	13	2	10	2069/5	48	04	01	01	00	00	00
7	13	1	10	2065/0	27	00	01	01	00	00	00
7	13	1	10	2063/7	1b	00	01	01	00	00	00
7	13	2	10	2065/2	29	00	01	01	00	00	00
3	14	1	10	2059/2	08	04	01	01	00	00	00
3	14	3	10	3060/2	67	00	01	01	00	00	00
4	14	0	10	2069/3	46	01	01	01	00	00	00
2	15	2	10	2071/9	59	02	01	01	00	00	00
3	15	3	10	2059/2	08	04	01	01	00	00	00
5	15	0	10	2068/8	41	04	01	01	00	00	00
5	15	1	10	2065/3	2a	03	01	01	00	00	00
5	16	2	10	2068/8	41	04	01	01	00	00	00
5	16	0	10	2070/5	4f	01	01	01	00	00	00
2	17	1	10	2068/6	40	03	01	01	00	00	00
4	18	3	10	2070/9	51	00	01	01	00	00	00
5	18	2	10	2070/9	51	00	01	01	00	00	00
3	2	3	10	2068/2	3c	02	01	01	00	00	00
3	2	1	10	2064/5	23	04	01	01	00	00	00
4	2	2	10	2066/0	2d	03	01	01	00	00	00
8	2	0	10	2060/6	13	00	01	01	00	00	00
3	3	1	11	2063/6	1a	02	01	01	00	00	00
5	3	1	11	2067/0	33	00	01	01	00	00	00
7	3	3	11	2060/6	13	00	01	01	00	00	00
3	4	2	11	2063/6	1a	02	01	01	00	00	00
5	4	1	11	2067/1	34	03	02	01	00	00	00
2	5	1	11	2059/7	0c	00	01	01	00	00	00
3	5	0	11	2059/7	0c	00	01	01	00	00	00
1	6	3	11	2069/6	69	03	01	01	00	00	00
2	6	3	11	2066/3	30	04	01	01	00	00	00
7	11	2	11	2067/5	37	02	01	01	00	00	00
7	12	3	11	2064/0	1e	02	01	01	00	00	00
2	14	3	11	2070/6	50	02	01	01	00	00	00
4	5	1	11	2260/5	5d	03	01	01	00	00	00
4	8	2	11	2260/4	5c	04	01	01	00	00	00
2	15	2	11	2071/3	54	01	01	01	00	00	00
7	16	2	12	2069/1	44	00	01	01	00	00	00
6	17	2	12	2067/7	66	02	01	01	00	00	00
7	2	1	12	2059/8	0d	01	01	01	00	00	00
2	4	1	12	3060/7	63	01	01	01	00	00	00
5	5	3	12	2063/2	17	04	01	01	00	00	00
5	6	3	12	2063/8	1c	04	01	01	00	00	00
2	7	1	12	2070/4	4e	03	01	01	00	00	00
3	7	3	12	2068/9	42	02	01	01	00	00	00
4	7	2	12	2068/9	42	02	01	01	00	00	00
7	7	1	12	2260/9	5e	04	01	01	00	00	00
4	8	3	12	2067/6	38	00	01	01	00	00	00
4	8	2	12	2069/2	45	00	01	01	00	00	00
5	10	2	12	2060/9	15	02	01	01	00	00	00
7	10	0	12	2069/7	49	04	01	01	00	00	00
4	11	0	12	2069/4	47	02	01	01	00	00	00
5	11	0	12	2071/8	58	01	01	01	00	00	00
6	11	1	12	2071/6	57	04	01	01	00	00	00
3	12	2	12	2068/3	3d	02	01	01	00	00	00
3	12	2	12	2060/7	14	01	01	01	00	00	00
4	12	2	12	2069/4	47	02	01	01	00	00	00
5	12	3	12	2059/4	0a	04	01	01	00	00	00
