modulex	moduley	c	timestamp	kilobot_sn	data0	data1	data2	data3	data4	data5	data6
1	3	1	0	2067/2	37	02	00	00	00	00	00
2	11	1	0	2067/4	39	00	00	00	00	00	00
3	11	0	0	2067/4	39	00	00	00	00	00	00
3	12	2	0	2067/4	39	00	00	00	00	00	00
7	16	3	0	2066/1	2e	00	00	00	00	00	00
5	17	0	0	2070/1	52	01	00	00	00	00	00
5	4	3	1	2063/8	1d	03	00	00	00	00	00
0	2	3	1	01083	04	04	00	00	00	00	00
1	2	0	1	01083	04	04	00	00	00	00	00
4	2	0	1	2059/7	0d	02	00	00	00	00	00
2	3	1	1	2070/6	56	01	00	00	00	00	00
2	4	3	1	2070/6	56	01	00	00	00	00	00
2	4	0	1	2064/3	20	02	00	00	00	00	00
3	4	1	1	2069/3	4a	02	00	00	00	00	00
4	4	2	1	2069/8	4f	03	00	00	00	00	00
2	5	3	1	2066/0	2d	00	00	00	00	00	00
2	5	2	1	2064/3	20	02	00	00	00	00	00
4	5	1	1	2064/6	23	00	00	00	00	00	00
5	6	3	1	2065/0	74	01	00	00	00	00	00
5	6	0	1	3060/3	6d	03	00	00	00	00	00
7	6	1	1	2059/2	08	02	00	00	00	00	00
2	7	1	1	2059/9	0f	01	00	00	00	00	00
3	7	3	1	2063/7	1c	03	00	00	00	00	00
6	7	2	1	2063/1	18	00	00	00	00	00	00
7	7	2	1	2059/2	08	02	00	00	00	00	00
3	8	1	1	2060/0	10	00	00	00	00	00	00
5	8	1	1	2069/1	48	00	00	00	00	00	00
6	8	2	1	2071/6	5e	03	00	00	00	00	00
1	9	1	1	2060/6	15	04	00	00	00	00	00
1	9	3	1	2070/9	58	01	00	00	00	00	00
4	9	0	1	2059/8	0e	00	00	00	00	00	00
2	10	3	2	2059/1	07	00	00	00	00	00	00
5	10	1	2		ff	01	00	00	00	00	00
5	10	2	2	2071/4	5d	04	00	00	00	00	00
6	10	3	2	2059/1	07	04	00	00	00	00	00
2	11	2	2	2070/2	53	03	00	00	00	00	00
4	11	0	2	2067/0	36	04	00	00	00	00	00
3	12	3	2	2059/4	0a	02	00	00	00	00	00
4	12	3	2	3060/0	6a	00	00	00	00	00	00
4	12	2	2	2059/4	0a	02	00	00	00	00	00
5	12	0	2	2068/2	41	02	00	00	00	00	00
7	12	1	2	2068/3	42	02	00	00	00	00	00
1	13	0	2	2069/2	49	03	00	00	00	00	00
7	13	3	2	2068/3	42	02	00	00	00	00	00
7	13	1	2	2065/1	27	01	00	00	00	00	00
3	14	0	2	2064/8	25	02	00	00	00	00	00
4	14	2	2	01079	02	04	00	00	00	00	00
6	14	1	2	2068/9	46	01	00	00	00	00	00
1	15	1	2		7f	04	00	00	00	00	00
3	15	1	2	2063/4	19	03	00	00	00	00	00
3	16	3	2	2063/4	19	03	00	00	00	00	00
7	16	1	2	2060/3	12	03	00	00	00	00	00
1	17	2	2	2069/7	4e	04	00	00	00	00	00
2	17	0	2	2060/7	16	03	00	00	00	00	00
4	17	3	2	2070/1	52	01	00	00	00	00	00
4	17	0	2	2260/4	65	03	00	00	00	00	00
5	2	0	2	2064/4	21	04	00	00	00	00	00
5	2	3	2	2059/3	09	04	01	01	00	00	00
6	2	0	2	2069/4	4b	01	00	00	00	00	00
3	3	2	2	3060/8	71	03	00	00	00	00	00
6	4	0	2	2063/8	1d	03	02	01	00	00	00
6	14	0	2	2068/9	46	01	01	01	00	00	00
6	15	2	2	2068/9	46	01	01	01	00	00	00
4	14	1	3		ff	01	01	01	00	00	00
2	15	3	3	2064/1	1f	00	01	01	00	00	00
7	16	1	3	2060/3	12	03	01	01	00	00	00
5	17	2	3	2070/1	52	01	01	01	00	00	00
0	2	3	3	01083	04	04	01	01	00	00	00
1	2	0	3	01083	04	04	01	01	00	00	00
7	2	1	3	2059/6	0c	02	01	01	00	00	00
8	2	0	3	2059/6	0c	02	01	01	00	00	00
1	3	1	3	2067/2	37	02	01	01	00	00	00
2	3	0	3	2067/2	37	02	01	01	00	00	00
3	3	2	3	3060/8	71	03	01	01	00	00	00
7	3	2	3	2064/1	1f	03	01	01	00	00	00
8	3	1	3	2260/9	69	04	01	01	00	00	00
3	4	1	3	2069/3	4a	02	01	01	00	00	00
4	4	1	3	2069/8	4f	03	01	01	00	00	00
8	4	3	3	2260/9	69	04	01	01	00	00	00
5	5	1	3	2065/0	74	01	01	01	00	00	00
7	5	3	3	2067/5	3a	02	01	01	00	00	00
1	6	2	3	3060/4	6e	02	01	01	00	00	00
1	7	0	4	2066/2	2f	04	01	01	00	00	00
3	7	1	4	2063/7	1c	03	01	01	00	00	00
5	7	0	4	2066/6	32	00	01	01	00	00	00
3	8	0	4	2060/0	10	00	01	01	00	00	00
5	8	3	4	2069/1	48	00	01	01	00	00	00
7	8	2	4	2068/4	43	01	01	01	00	00	00
8	8	2	4	3060/5	6f	03	01	01	00	00	00
2	10	2	4	2059/1	07	00	01	01	00	00	00
3	10	1	4	2071/8	60	02	01	01	00	00	00
4	10	3	4	2068/2	41	03	01	01	00	00	00
8	10	2	4	2064/6	23	01	01	01	00	00	00
3	11	3	4	2071/8	60	02	01	01	00	00	00
6	11	2	4		ff	01	01	01	00	00	00
7	11	3	4	2069/7	4e	04	01	01	00	00	00
4	12	1	4	2068/2	41	02	01	01	00	00	00
4	12	3	4	3060/0	6a	00	01	01	00	00	00
5	12	2	4	3060/0	6a	00	01	01	00	00	00
6	12	2	4	2068/5	44	01	01	01	00	00	00
1	13	3	4	2069/2	49	03	01	01	00	00	00
2	13	1	4	2063/6	1b	00	01	01	00	00	00
3	13	1	4	2063/9	1e	04	01	01	00	00	00
7	13	1	4	2065/1	27	01	01	01	00	00	00
2	14	1	4	2064/8	25	02	01	01	00	00	00
3	14	0	4	2064/8	25	02	01	01	00	00	00
4	14	2	4	01079	02	04	01	01	00	00	00
2	15	0	4		7f	04	01	01	00	00	00
2	16	0	4	2071/9	61	01	01	01	00	00	00
4	16	2	4	2063/4	19	03	01	01	00	00	00
4	16	1	4		ff	00	01	01	00	00	00
5	16	2	4		7f	04	01	01	00	00	00
6	16	0	4	2069/5	4c	00	01	01	00	00	00
2	17	2	4	2071/9	61	01	01	01	00	00	00
4	17	1	4	2260/4	65	03	01	01	00	00	00
7	17	3	4	2068/6	45	02	01	01	00	00	00
1	4	0	4	2060/9	17	04	02	01	00	00	00
6	5	1	4	2059/5	0b	00	64	00	00	00	00
3	18	2	5	2065/5	2b	01	01	01	00	00	00
0	2	3	5	01083	04	04	01	01	00	00	00
2	2	2	5	2064/9	26	02	01	01	00	00	00
6	2	1	5	2069/4	4b	01	01	01	00	00	00
4	3	2	5	2260/3	64	00	01	01	00	00	00
5	3	1	5	2067/9	3e	01	01	01	00	00	00
7	3	0	5	01081	03	01	01	01	00	00	00
8	3	1	5	2260/9	69	04	01	01	00	00	00
3	4	1	5	2069/3	4a	02	01	01	00	00	00
4	4	3	5	2069/8	4f	03	01	01	00	00	00
5	4	3	5	2067/9	3e	01	01	01	00	00	00
6	4	3	5	01081	03	01	01	01	00	00	00
6	4	2	5	2067/9	3e	01	01	01	00	00	00
8	4	3	5	2260/9	69	04	01	01	00	00	00
3	5	2	5	2066/0	2d	00	01	01	00	00	00
6	5	2	5	2065/0	74	01	01	01	00	00	00
7	5	1	5	2067/5	3a	02	01	01	00	00	00
3	6	1	5	2069/7	4e	01	01	01	00	00	00
4	6	0	5	2069/7	4e	01	01	01	00	00	00
5	6	2	5	3060/3	6d	03	01	01	00	00	00
8	6	0	5	2059/2	08	02	01	01	00	00	00
1	7	2	5	2066/2	2f	04	01	01	00	00	00
3	7	1	5	2063/7	1c	03	01	01	00	00	00
4	8	0	5	2067/6	3b	02	01	01	00	00	00
5	8	2	5	2069/1	48	00	01	01	00	00	00
8	8	0	6	3060/5	6f	03	01	01	00	00	00
4	9	3	6	2067/6	3b	02	01	01	00	00	00
4	9	3	6	2059/8	0e	00	01	01	00	00	00
6	9	2	6	2063/5	1a	02	01	01	00	00	00
1	10	1	6	2060/6	15	04	01	01	00	00	00
2	10	2	6	2059/1	07	00	01	01	00	00	00
8	10	2	6	2064/6	23	01	01	01	00	00	00
2	11	0	6	2070/2	53	03	01	01	00	00	00
8	11	0	6	2069/7	4e	04	01	01	00	00	00
2	12	3	6	2064/5	22	04	01	01	00	00	00
3	12	2	6	2064/5	22	04	01	01	00	00	00
4	12	1	6	2068/2	41	02	01	01	00	00	00
5	12	0	6	2068/2	41	02	01	01	00	00	00
7	12	2	6	3060/6	70	00	01	01	00	00	00
1	13	1	6	2069/2	49	03	01	01	00	00	00
2	13	0	6	2063/6	1b	00	01	01	00	00	00
3	13	3	6	2065/7	73	01	01	01	00	00	00
3	13	1	6	2063/9	1e	04	01	01	00	00	00
2	14	1	6	2064/8	25	02	01	01	00	00	00
3	14	0	6	2064/8	25	02	01	01	00	00	00
4	14	1	6	2070/0	51	03	01	01	00	00	00
7	14	2	6	2069/0	47	03	01	01	00	00	00
1	15	3	6		7f	04	01	01	00	00	00
4	15	3	6		ff	01	01	01	00	00	00
4	15	0	6	2063/4	19	03	01	01	00	00	00
6	15	1	6	2071/3	5c	02	01	01	00	00	00
1	16	0	6	01085	05	03	01	01	00	00	00
6	16	0	6	2069/5	4c	00	01	01	00	00	00
1	17	2	6	2069/7	4e	04	01	01	00	00	00
3	17	2	6	2060/7	16	03	01	01	00	00	00
4	17	3	6	2260/4	65	03	01	01	00	00	00
5	2	1	6	2059/3	09	04	01	01	00	00	00
6	2	0	6	2059/3	09	04	01	01	00	00	00
6	5	3	6	2059/5	0b	00	64	00	00	00	00
6	2	1	7	2069/4	4b	01	01	01	00	00	00
5	3	0	7	2064/4	21	04	01	01	00	00	00
2	4	1	7	2066/0	2d	00	01	01	00	00	00
2	4	2	7	2067/2	37	02	01	01	00	00	00
2	4	3	7	2070/6	56	01	01	01	00	00	00
3	4	0	7	2066/0	2d	00	01	01	00	00	00
3	4	3	7	2069/3	4a	02	01	01	00	00	00
4	4	1	7	2069/8	4f	03	01	01	00	00	00
4	4	2	7	2069/3	4a	02	01	01	00	00	00
2	5	1	7	2064/3	20	02	01	01	00	00	00
4	5	3	7	2064/6	23	00	01	01	00	00	00
6	5	0	7	2065/0	74	01	01	01	00	00	00
7	5	3	7	2067/5	3a	02	01	01	00	00	00
1	6	3	7	3060/4	6e	02	01	01	00	00	00
5	6	1	7	3060/3	6d	03	01	01	00	00	00
7	6	1	7	2059/2	08	02	01	01	00	00	00
8	6	2	7	2066/8	34	03	01	01	00	00	00
1	7	1	7	2066/2	2f	04	01	01	00	00	00
5	7	1	7	2069/1	48	00	01	01	00	00	00
5	7	2	7	2066/6	32	00	01	01	00	00	00
6	7	1	7	2071/6	5e	03	01	01	00	00	00
2	8	3	7	2070/9	58	01	01	01	00	00	00
8	8	3	8	3060/5	6f	03	01	01	00	00	00
3	9	2	8	2070/7	57	03	01	01	00	00	00
3	9	2	8	2060/0	10	00	01	01	00	00	00
4	9	1	8	2059/8	0e	00	01	01	00	00	00
5	9	0	8	2059/8	0e	00	01	01	00	00	00
6	9	1	8	2063/5	1a	02	01	01	00	00	00
2	10	2	8	2059/1	07	00	01	01	00	00	00
6	10	3	8	2070/4	55	00	01	01	00	00	00
8	10	0	8	2064/6	23	01	01	01	00	00	00
2	11	0	8	2065/2	28	02	01	01	00	00	00
6	11	0	8		ff	01	01	01	00	00	00
2	12	2	8	2065/2	28	02	01	01	00	00	00
3	12	0	8	2064/5	22	04	01	01	00	00	00
4	12	2	8	2067/0	36	04	01	01	00	00	00
4	12	0	8	2065/7	73	01	01	01	00	00	00
5	12	0	8	2260/1	63	04	01	01	00	00	00
6	12	3	8	2068/5	44	01	01	01	00	00	00
3	13	2	8	2063/9	1e	04	01	01	00	00	00
6	13	0	8	2068/0	3f	00	01	01	00	00	00
7	13	1	8	2068/3	42	02	01	01	00	00	00
2	14	1	8	2064/8	25	02	01	01	00	00	00
3	14	0	8	2064/8	25	02	01	01	00	00	00
4	14	0	8	01079	02	04	01	01	00	00	00
5	14	0	8		ff	01	01	01	00	00	00
5	14	2	8	2070/0	51	03	01	01	00	00	00
2	15	0	8	2071/0	59	01	01	01	00	00	00
6	15	3	8	2071/3	5c	02	01	01	00	00	00
2	16	1	8	2060/4	13	02	01	01	00	00	00
3	17	1	8	2065/5	2b	01	01	01	00	00	00
4	17	1	8	2260/4	65	03	01	01	00	00	00
7	3	1	8	2064/1	1f	03	01	01	00	00	00
0	4	3	8	2060/9	17	04	02	01	00	00	00
1	4	0	8	2060/9	17	04	02	01	00	00	00
6	5	1	8	2059/5	0b	00	64	00	00	00	00
7	5	0	8	2059/5	0b	00	64	00	00	00	00
0	2	0	9	01083	04	04	01	01	00	00	00
8	2	1	9	2059/6	0c	02	01	01	00	00	00
5	3	1	9	2064/4	21	04	01	01	00	00	00
3	4	0	9	2066/0	2d	00	01	01	00	00	00
4	4	3	9	2069/8	4f	03	01	01	00	00	00
6	4	2	9	2067/9	3e	01	01	01	00	00	00
7	4	2	9	01081	03	01	01	01	00	00	00
4	5	2	9	2064/6	23	00	01	01	00	00	00
6	5	2	9	2065/0	74	01	01	01	00	00	00
7	5	1	9	2067/5	3a	02	01	01	00	00	00
5	6	0	9	3060/3	6d	03	01	01	00	00	00
6	6	3	9	2063/1	18	00	01	01	00	00	00
7	6	2	9	2063/1	18	00	01	01	00	00	00
2	7	2	9	2066/2	2f	04	01	01	00	00	00
2	7	3	9	2059/9	0f	01	01	01	00	00	00
4	7	3	9	2069/7	4e	01	01	01	00	00	00
5	7	1	9	2066/6	32	00	01	01	00	00	00
6	7	1	9	2068/4	43	01	01	01	00	00	00
3	8	0	9	2070/9	58	01	01	01	00	00	00
8	8	2	10	3060/5	6f	03	01	01	00	00	00
3	9	3	10	2070/7	57	03	01	01	00	00	00
4	9	3	10	2067/6	3b	02	01	01	00	00	00
5	9	2	10	2059/8	0e	00	01	01	00	00	00
6	9	1	10	2063/5	1a	02	01	01	00	00	00
2	10	2	10	2059/1	07	00	01	01	00	00	00
6	10	1	10	2059/1	07	04	01	01	00	00	00
8	10	0	10	2064/6	23	01	01	01	00	00	00
3	11	0	10	2070/2	53	03	01	01	00	00	00
4	11	2	10	2071/8	60	02	01	01	00	00	00
2	12	3	10	2070/2	53	03	01	01	00	00	00
3	12	2	10	2070/2	53	03	01	01	00	00	00
4	12	3	10	2067/0	36	04	01	01	00	00	00
4	12	3	10	3060/0	6a	00	01	01	00	00	00
5	12	0	10	2260/1	63	04	01	01	00	00	00
6	12	2	10	2070/0	51	04	02	01	1f	00	00
7	12	1	10	2069/7	4e	04	01	01	00	00	00
8	12	2	10	2069/7	4e	04	01	01	00	00	00
1	13	3	10	2069/2	49	03	01	01	00	00	00
2	13	2	10	2069/2	49	03	01	01	00	00	00
3	13	1	10	2063/9	1e	04	01	01	00	00	00
7	13	3	10	2065/1	27	01	01	01	00	00	00
6	14	1	10	2069/0	47	03	01	01	00	00	00
7	14	0	10	2069/0	47	03	01	01	00	00	00
2	15	2	10	2064/1	1f	00	01	01	00	00	00
2	15	3	10	2064/8	25	02	01	01	00	00	00
2	16	1	10	2071/9	61	01	01	01	00	00	00
2	16	0	10	2060/4	13	02	01	01	00	00	00
