modulex	moduley	c	timestamp	kilobot_sn	data0	data1	data2	data3	data4	data5	data6
2	1	2	0	2069/3	4a	02	00	00	00	00	00
9	2	2	0	2070/9	58	01	00	00	00	00	00
4	4	3	0	2066/6	32	00	00	00	00	00	00
6	4	0	0	2064/9	26	02	00	00	00	00	00
6	5	2	0	2064/9	26	02	00	00	00	00	00
4	6	0	0	2060/4	13	02	00	00	00	00	00
4	6	0	0	2064/6	23	01	00	00	00	00	00
4	6	0	0	2064/1	1f	03	00	00	00	00	00
4	7	2	0	2060/4	13	02	00	00	00	00	00
2	8	2	0	2069/0	47	03	00	00	00	00	00
7	8	2	0	2059/5	0b	00	64	00	00	00	00
4	10	3	0	2063/4	19	03	00	00	00	00	00
5	10	0	0	2064/8	25	02	00	00	00	00	00
5	11	1	0	2067/2	37	02	00	00	00	00	00
9	12	3	0	2067/6	3b	02	00	00	00	00	00
2	13	3	0	01083	04	04	00	00	00	00	00
5	13	0	0	3060/3	6d	03	00	00	00	00	00
6	13	2	0	2059/7	0d	02	00	00	00	00	00
6	13	0	0	2059/2	08	02	00	00	00	00	00
5	14	0	0	2071/4	5d	04	00	00	00	00	00
5	15	2	0	2071/4	5d	04	00	00	00	00	00
6	17	0	0	2071/8	60	02	00	00	00	00	00
0	18	0	0		ff	01	00	00	00	00	00
8	18	1	0	2067/5	3a	02	00	00	00	00	00
0	0	1	0	3060/5	6f	03	00	00	00	00	00
1	0	2	0	2068/5	44	01	00	00	00	00	00
7	13	1	1	2071/9	61	01	00	00	00	00	00
6	16	3	2	2069/7	4e	04	00	00	00	00	00
6	17	2	2	2064/3	20	02	00	00	00	00	00
6	17	1	2	2070/0	51	03	00	00	00	00	00
1	19	0	2	2067/4	39	00	00	00	00	00	00
7	19	1	2	01081	03	01	00	00	00	00	00
0	0	1	2	3060/5	6f	03	00	00	00	00	00
0	0	1	2	2059/6	0c	02	00	00	00	00	00
1	0	3	2	2068/5	44	01	00	00	00	00	00
2	0	1	2	2069/3	4a	02	00	00	00	00	00
0	1	0	2	2060/7	16	03	00	00	00	00	00
2	1	2	2	2069/3	4a	02	00	00	00	00	00
7	1	2	2	2070/0	51	04	00	00	00	00	00
0	2	2	2	2065/1	27	01	00	00	00	00	00
9	2	2	2	2070/9	58	01	00	00	00	00	00
0	3	3	2	2059/3	09	04	00	00	00	00	00
8	3	1	2	2064/6	23	00	00	00	00	00	00
4	4	3	2	2066/6	32	00	00	00	00	00	00
5	4	1	2	3060/4	6e	02	00	00	00	00	00
6	4	0	2	2064/9	26	02	00	00	00	00	00
7	4	1	2	2071/0	59	01	00	00	00	00	00
8	4	3	2	2064/6	23	00	00	00	00	00	00
9	4	0	2	2068/9	46	01	00	00	00	00	00
4	5	2	2	2063/6	1b	00	00	00	00	00	00
6	5	2	2	2066/0	2d	00	00	00	00	00	00
7	5	2	2	2067/9	3e	01	00	00	00	00	00
2	6	0	2	2067/0	36	04	00	00	00	00	00
2	6	3	2	2066/8	34	03	00	00	00	00	00
4	6	0	2	2060/4	13	02	00	00	00	00	00
2	7	0	2	2069/5	4c	00	00	00	00	00	00
3	7	3	2	2260/4	65	03	00	00	00	00	00
4	7	1	2		7f	04	00	00	00	00	00
4	7	3	2	2060/4	13	02	00	00	00	00	00
7	8	2	2	2059/5	0b	00	64	00	00	00	00
5	9	3	2	2065/7	73	01	00	00	00	00	00
6	9	0	2	2060/0	10	00	00	00	00	00	00
4	10	3	2	2063/4	19	03	00	00	00	00	00
3	11	1	2	2063/7	1c	03	00	00	00	00	00
5	11	0	2	2067/2	37	02	00	00	00	00	00
5	12	1	2	2071/3	5c	02	00	00	00	00	00
9	12	1	2	2067/6	3b	02	00	00	00	00	00
2	13	3	2	01083	04	04	00	00	00	00	00
4	13	1	2	2063/1	18	00	00	00	00	00	00
5	13	2	2	3060/3	6d	03	00	00	00	00	00
5	13	1	2	2059/2	08	02	00	00	00	00	00
6	13	2	2	2059/7	0d	02	00	00	00	00	00
3	14	1	2	3060/0	6a	00	00	00	00	00	00
3	14	0	2	2065/5	2b	01	00	00	00	00	00
5	14	3	2	2070/7	57	03	00	00	00	00	00
1	15	1	2	2063/5	1a	02	00	00	00	00	00
5	15	2	2	2071/4	5d	04	00	00	00	00	00
6	17	1	2	2064/5	22	04	00	00	00	00	00
9	17	1	2	2063/9	1e	04	00	00	00	00	00
9	17	1	2	01085	05	03	00	00	00	00	00
0	18	0	2		ff	01	00	00	00	00	00
6	18	1	2	2260/1	63	04	00	00	00	00	00
8	18	0	2	2067/5	3a	02	00	00	00	00	00
9	18	3	2	2063/9	1e	04	00	00	00	00	00
0	1	0	3	2068/0	3f	00	00	00	00	00	00
9	2	0	3	2070/6	56	01	00	00	00	00	00
6	3	3	3	2069/2	49	03	02	01	00	00	00
7	3	2	3	2069/2	49	03	02	01	00	00	00
6	17	3	4	2064/3	20	02	01	01	00	00	00
7	18	0	4	2069/4	4b	01	01	01	00	00	00
2	0	0	4	2069/3	4a	02	01	01	00	00	00
0	1	3	4	2059/6	0c	02	01	02	00	00	00
2	1	2	4	2059/8	0e	00	01	01	00	00	00
0	2	2	4	2065/1	27	01	01	02	00	00	00
9	2	1	4	2070/9	58	01	01	02	00	00	00
4	4	2	4	2066/6	32	00	01	01	00	00	00
5	4	3	4	3060/4	6e	02	01	01	00	00	00
8	4	2	4	2071/0	59	01	01	01	00	00	00
2	5	0	4	2066/8	34	03	01	01	00	00	00
3	6	1	4	2260/4	65	03	01	01	00	00	00
3	6	1	4	2066/1	2e	00	01	01	00	00	00
4	6	0	4	2064/6	23	01	01	01	00	00	00
6	6	0	4	2068/4	43	01	01	01	00	00	00
2	7	0	4	2069/5	4c	00	01	01	00	00	00
2	7	0	4	2069/0	47	03	01	01	00	00	00
4	7	2	4	2260/4	65	03	01	01	00	00	00
4	7	0	4		7f	04	01	01	00	00	00
4	7	3	4	2060/4	13	02	01	01	00	00	00
5	7	3	4	2068/4	43	01	01	01	00	00	00
4	8	2	4		7f	04	01	01	00	00	00
4	9	2	4	2260/3	64	00	01	01	00	00	00
4	9	0	4	2063/8	1d	03	01	01	00	00	00
5	9	1	4	2065/7	73	01	01	01	00	00	00
6	9	3	4	2060/0	10	00	01	01	00	00	00
5	10	0	4	2063/4	19	03	01	01	00	00	00
4	12	3	4	2068/3	42	02	01	01	00	00	00
5	12	3	4	2071/3	5c	02	01	01	00	00	00
9	12	1	4	2070/2	53	03	01	02	00	00	00
9	12	2	4	2067/6	3b	02	01	02	00	00	00
2	13	3	4	01083	04	04	01	01	00	00	00
5	13	1	4	3060/3	6d	03	01	01	00	00	00
6	13	2	4	2059/2	08	02	01	01	00	00	00
9	13	0	4	2060/9	17	04	01	01	00	00	00
3	14	0	4	3060/0	6a	00	01	01	00	00	00
9	14	1	4	2064/1	1f	00	01	02	00	00	00
1	15	1	4	2063/5	1a	02	01	01	00	00	00
3	15	1	4	2069/7	4e	04	01	01	00	00	00
5	15	2	4	2071/4	5d	04	01	01	00	00	00
5	17	1	4	2071/8	60	02	01	01	00	00	00
6	17	3	4	2064/5	22	04	01	01	00	00	00
8	17	2	4		ff	01	01	01	00	00	00
9	17	1	4	01085	05	03	01	02	00	00	00
6	18	1	4	2260/1	63	04	01	01	00	00	00
8	18	2	4	2067/5	3a	02	01	01	00	00	00
0	1	2	4	2068/0	3f	00	01	02	00	00	00
0	4	0	5		ff	00	01	02	00	00	00
9	17	3	5	01085	05	03	01	02	00	00	00
8	13	0	5	2071/9	61	01	01	01	00	00	00
7	14	3	5	2071/9	61	01	01	01	00	00	00
7	16	2	6	2069/7	4e	04	01	01	00	00	00
9	18	3	6	2068/2	41	03	01	02	00	00	00
2	19	0	6	2059/1	07	00	01	01	00	00	00
0	0	0	6	3060/5	6f	03	01	02	00	00	00
1	0	3	6	2064/4	21	04	01	02	00	00	00
0	1	3	6	2070/4	55	00	01	01	00	00	00
0	2	1	6	2059/3	09	04	01	01	00	00	00
0	2	1	6	2069/8	4f	03	01	01	00	00	00
0	2	2	6	2065/1	27	01	01	02	00	00	00
1	2	2	6	2069/8	4f	03	01	01	00	00	00
3	2	0	6	2065/2	28	02	01	01	00	00	00
3	3	2	6	2060/3	12	03	01	01	00	00	00
5	4	1	6	3060/4	6e	02	01	01	00	00	00
8	4	2	6	2071/0	59	01	01	01	00	00	00
8	4	1	6	2064/6	23	00	01	01	00	00	00
6	5	0	6	2064/9	26	02	01	01	00	00	00
2	6	0	6	2067/0	36	04	01	01	00	00	00
4	6	1	6	2060/4	13	02	01	01	00	00	00
4	6	2	6	2064/6	23	01	01	01	00	00	00
5	6	2	6	2060/6	15	04	01	01	00	00	00
2	7	3	6	2069/5	4c	00	01	01	00	00	00
3	7	3	6	2260/4	65	03	01	01	00	00	00
4	7	3	6	2060/4	13	02	01	01	00	00	00
6	7	2	6	2068/4	43	01	01	01	00	00	00
6	7	1	6	2059/5	0b	00	64	00	00	00	00
2	8	0	6	2069/0	47	03	01	01	00	00	00
4	8	0	6	2069/1	48	00	01	01	00	00	00
4	10	1	6	2063/4	19	03	01	01	00	00	00
5	11	0	6	2065/0	74	01	01	01	00	00	00
5	11	1	6	2067/2	37	02	01	01	00	00	00
5	11	3	6	2064/8	25	02	01	01	00	00	00
6	11	0	6	2067/2	37	02	01	01	00	00	00
6	11	2	6	2064/8	25	02	01	01	00	00	00
3	12	3	6	2063/7	1c	03	01	01	00	00	00
4	12	2	6	2068/3	42	02	01	01	00	00	00
5	12	2	6	2071/3	5c	02	01	01	00	00	00
6	12	1	6	2059/7	0d	02	01	01	00	00	00
9	12	0	6	3060/8	71	03	01	02	00	00	00
3	13	0	6	01083	04	04	01	01	00	00	00
5	13	3	6	2059/2	08	02	01	01	00	00	00
5	13	1	6	3060/3	6d	03	01	01	00	00	00
7	13	1	6	2068/6	45	02	01	01	00	00	00
8	13	1	6	2060/9	17	04	01	01	00	00	00
4	14	1	6	2071/6	5e	03	01	01	00	00	00
4	14	3	6	2059/1	07	04	01	01	00	00	00
5	14	3	6	2070/7	57	03	01	01	00	00	00
5	14	1	6	2071/4	5d	04	01	01	00	00	00
3	15	2	6	2069/7	4e	04	01	01	00	00	00
3	15	3	6	2065/5	2b	01	01	01	00	00	00
4	15	3	6	2071/6	5e	03	01	01	00	00	00
5	15	2	6	2071/4	5d	04	01	01	00	00	00
9	15	3	6	2064/1	1f	00	01	02	00	00	00
5	16	1	6	2064/3	20	02	01	01	00	00	00
6	16	0	6	2064/3	20	02	01	01	00	00	00
0	17	3	6		7f	04	01	01	00	00	00
5	17	1	6	2071/8	60	02	01	01	00	00	00
6	17	0	6	2071/8	60	02	01	01	00	00	00
8	17	0	6	2067/5	3a	02	01	01	00	00	00
6	18	0	6	2260/1	63	04	01	01	00	00	00
0	0	0	6	2059/6	0c	02	01	02	00	00	00
0	1	1	6	2068/0	3f	00	01	02	00	00	00
9	2	1	7	2070/9	58	01	01	02	00	00	00
4	6	1	7	2059/4	0a	02	01	01	00	00	00
7	13	1	8	2071/9	61	01	01	01	00	00	00
1	16	3	8	2063/5	1a	02	01	01	00	00	00
7	16	0	8	2069/7	4e	04	01	01	00	00	00
5	17	1	8	2070/0	51	03	01	01	00	00	00
6	17	0	8	2070/0	51	03	01	01	00	00	00
5	18	3	8	2071/8	60	02	01	01	00	00	00
9	18	0	8	2068/2	41	03	01	02	00	00	00
6	19	3	8	2069/4	4b	01	01	01	00	00	00
7	19	2	8	2069/4	4b	01	01	01	00	00	00
3	0	0	8	2069/3	4a	02	01	01	00	00	00
6	1	3	8	2070/0	51	04	01	01	00	00	00
3	2	0	8	2065/2	28	02	01	01	00	00	00
6	2	1	8	2069/2	49	03	02	01	00	00	00
9	2	0	8	2070/9	58	01	01	02	00	00	00
0	3	3	8	2059/3	09	04	01	01	00	00	00
4	3	1	8	2066/6	32	00	01	01	00	00	00
6	3	3	8	2069/2	49	03	02	01	00	00	00
8	4	1	8	2071/0	59	01	01	01	00	00	00
8	4	3	8	2064/6	23	00	01	01	00	00	00
4	5	2	8	2260/9	69	04	01	01	00	00	00
5	5	3	8	3060/4	6e	02	01	01	00	00	00
6	5	3	8	2064/9	26	02	01	01	00	00	00
9	5	2	8	2068/9	46	01	01	02	00	00	00
2	6	1	8	2069/5	4c	00	01	01	00	00	00
2	6	1	8	2067/0	36	04	01	01	00	00	00
4	6	3	8	2060/6	15	04	01	01	00	00	00
4	6	3	8	2064/6	23	01	01	01	00	00	00
5	6	2	8	3060/6	70	00	01	01	00	00	00
5	6	0	8	2060/6	15	04	01	01	00	00	00
2	7	3	8	2069/5	4c	00	01	01	00	00	00
4	7	2	8	2260/4	65	03	01	01	00	00	00
4	8	2	8	2069/1	48	00	01	01	00	00	00
5	8	2	8	01079	02	04	01	01	00	00	00
6	8	3	8	2059/5	0b	00	64	00	00	00	00
5	10	3	8	2070/1	52	01	01	01	00	00	00
5	11	2	8	2065/0	74	01	01	01	00	00	00
6	11	2	8	2064/8	25	02	01	01	00	00	00
3	12	2	8	2063/7	1c	03	01	01	00	00	00
4	12	1	8	2063/1	18	00	01	01	00	00	00
5	12	1	8	2059/2	08	02	01	01	00	00	00
6	12	0	8	2059/7	0d	02	01	01	00	00	00
9	12	1	8	2070/2	53	03	01	02	00	00	00
9	12	1	8	2067/6	3b	02	01	02	00	00	00
2	13	1	8	01083	04	04	01	01	00	00	00
3	13	0	8	01083	04	04	01	01	00	00	00
7	13	3	8	2068/6	45	02	01	01	00	00	00
8	13	0	8	2060/9	17	04	01	01	00	00	00
9	13	2	8	3060/8	71	03	01	02	00	00	00
1	14	1	8	2059/9	0f	01	01	01	00	00	00
3	14	1	8	3060/0	6a	00	01	01	00	00	00
3	14	2	8	01083	04	04	01	01	00	00	00
5	14	0	8	2071/4	5d	04	01	01	00	00	00
6	14	0	8	2070/7	57	03	01	01	00	00	00
2	15	0	8	2063/5	1a	02	01	01	00	00	00
3	15	1	8	2069/7	4e	04	01	01	00	00	00
5	15	2	8	2071/4	5d	04	01	01	00	00	00
8	16	0	8	2066/2	2f	04	01	01	00	00	00
8	17	1	8	2067/5	3a	02	01	01	00	00	00
6	18	3	8	2260/1	63	04	01	01	00	00	00
4	15	3	10	2071/6	5e	03	01	01	00	00	00
5	16	1	10	2064/3	20	02	01	01	00	00	00
7	16	2	10	2069/7	4e	04	01	01	00	00	00
9	18	0	10	2068/2	41	03	01	02	00	00	00
1	19	2	10	2067/4	39	00	01	02	00	00	00
0	0	1	10	2059/6	0c	02	01	02	00	00	00
1	0	0	10	2070/4	55	00	01	01	00	00	00
0	1	0	10	2065/1	27	01	01	02	00	00	00
6	1	3	10	2070/0	51	04	01	01	00	00	00
0	2	3	10	2069/8	4f	03	01	01	00	00	00
1	2	0	10	2059/3	09	04	01	01	00	00	00
