modulex	moduley	c	timestamp	kilobot_sn	data0	data1	data2	data3	data4	data5	data6
4	4	2	0	2071/9	61	03	00	00	00	00	00
2	5	2	0	2068/3	42	00	00	00	00	00	00
4	5	0	0	2059/2	08	02	00	00	00	00	00
6	5	0	0	2069/6	4d	03	00	00	00	00	00
3	6	3	0	2070/0	51	02	00	00	00	00	00
4	6	2	0	2068/5	44	01	00	00	00	00	00
5	6	3	0	2063/4	19	00	00	00	00	00	00
2	8	2	0	2064/9	26	01	00	00	00	00	00
4	8	0	0	2069/4	4b	04	00	00	00	00	00
5	8	1	0	2064/3	20	01	00	00	00	00	00
4	9	2	0	2059/9	0f	02	00	00	00	00	00
6	9	0	0	2065/2	28	03	00	00	00	00	00
2	10	0	0	2063/9	1e	04	00	00	00	00	00
5	10	2	0	2066/1	2e	04	00	00	00	00	00
3	11	1	0	3060/6	70	02	00	00	00	00	00
4	11	2	0	2064/1	1f	04	00	00	00	00	00
2	12	2	0	2070/1	52	03	00	00	00	00	00
5	12	0	0	2069/7	4e	04	00	00	00	00	00
5	13	1	0	2071/8	60	02	00	00	00	00	00
3	14	1	0	2066/6	32	02	00	00	00	00	00
3	15	3	0	2060/3	12	03	00	00	00	00	00
4	16	2	0	2071/3	5c	00	00	00	00	00	00
5	16	3	0	2070/7	57	00	00	00	00	00	00
6	16	2	0	2260/1	63	01	00	00	00	00	00
6	10	2	1	2059/7	0d	01	00	00	00	00	00
4	4	1	1	2071/9	61	03	00	00	00	00	00
6	4	3	1	2064/4	21	00	00	00	00	00	00
2	5	0	1	2068/3	42	00	00	00	00	00	00
5	5	2	1	2071/1	5a	02	00	00	00	00	00
6	5	3	1	2069/6	4d	03	00	00	00	00	00
2	6	0	1	01079	02	03	00	00	00	00	00
4	6	1	1	2068/5	44	01	00	00	00	00	00
5	6	1	1	2063/4	19	00	00	00	00	00	00
6	6	0	1	2070/2	53	01	00	00	00	00	00
2	7	2	1	2060/6	15	01	00	00	00	00	00
3	7	3	1	2059/6	0c	04	00	00	00	00	00
4	7	0	1	2060/0	10	04	00	00	00	00	00
5	7	1	1	2060/4	13	04	00	00	00	00	00
6	7	0	1	2059/4	0a	02	00	00	00	00	00
2	8	1	1	2064/9	26	01	00	00	00	00	00
3	8	3	1	2063/5	1a	01	00	00	00	00	00
5	8	1	1	2064/3	20	01	00	00	00	00	00
2	9	0	2	2065/1	27	00	00	00	00	00	00
3	9	1	2	2070/9	58	01	00	00	00	00	00
4	9	2	2	2059/9	0f	02	00	00	00	00	00
5	9	3	2	2068/2	41	00	00	00	00	00	00
6	9	0	2	2065/2	28	03	00	00	00	00	00
2	10	3	2	2063/9	1e	04	00	00	00	00	00
3	10	3	2	2069/2	49	01	00	00	00	00	00
4	10	1	2	2068/0	3f	01	00	00	00	00	00
5	10	0	2	2066/1	2e	04	00	00	00	00	00
2	11	1	2	2064/6	23	04	00	00	00	00	00
3	11	1	2	3060/6	70	02	00	00	00	00	00
4	11	1	2	2064/1	1f	04	00	00	00	00	00
5	11	1	2	2067/2	37	04	00	00	00	00	00
6	11	3	2	2063/1	18	01	00	00	00	00	00
3	12	3	2	2063/6	1b	00	00	00	00	00	00
4	12	0	2	2069/0	47	01	00	00	00	00	00
